X,Y
1096,862
1098,862
1100,862
1102,862
1104,862
1106,862
1108,862
1110,862
1112,862
1114,862
1116,862
1118,862
1120,860
1122,860
1126,858
1128,856
1130,856
1132,856
1134,852
1138,850
1140,848
1142,844
1146,842
1146,840
1150,838
1150,836
1152,836
1154,834
1154,832
1156,830
1158,830
1158,826
1160,826
1160,824
1160,822
1162,820
