X,Y
1236,892
1234,892
1232,890
1230,882
1230,880
1230,878
1230,876
1230,872
1230,870
1230,868
1230,864
1230,862
1230,860
1230,858
1230,856
1230,854
1230,852
1230,850
1230,848
1230,846
1230,842
1232,840
1232,838
1234,836
1234,834
1236,830
1236,828
1238,828
1238,824
1242,822
1244,820
1244,816
1246,816
1246,814
1248,814
1248,810
1250,810
1250,808
1252,808
1252,806
1254,806
1254,804
1254,802
1254,800
1256,800
1256,796
1256,794
1258,794
1258,792
1258,788
1258,786
1258,784
1258,782
1258,780
1258,778
1258,776
1258,774
1256,772
1256,768
1256,766
1254,766
1254,764
1252,764
1250,764
1250,762
1248,762
1246,762
1244,762
1240,762
1234,762
1228,762
1224,762
1220,762
1218,762
1216,762
1214,762
1212,762
1210,762
1206,764
1204,766
1202,768
1200,768
1196,770
1196,772
1194,772
1192,772
1190,774
1186,776
1184,776
1180,776
1178,778
1174,780
1172,780
1170,780
1168,780
1166,780
1164,780
1162,780
1160,780
1158,782
1156,782
1156,780
1154,780
1154,778
1154,776
1152,774
1152,772
1152,768
1150,764
1150,762
1148,762
1148,760
1146,758
1144,756
1140,756
1138,754
1136,754
1134,754
1132,754
1128,754
1126,754
1122,754
1120,754
1116,754
1114,754
1108,752
1104,752
1100,750
1098,750
1094,750
1092,750
1090,750
1088,750
1086,748
1082,746
1078,746
1078,744
1076,742
1074,740
1072,740
1072,738
1072,736
1070,734
1070,732
1068,732
1068,728
1066,728
1066,726
1064,724
1064,722
1062,720
1060,718
1058,716
1056,716
1054,714
1052,714
1050,714
1050,712
1046,710
1044,708
1044,706
1042,706
1040,704
1038,702
1038,700
1036,700
1034,700
1034,698
1032,698
1032,696
1030,696
1030,694
1028,694
1028,692
1028,690
1026,688
1024,684
1022,680
1020,680
1018,676
1016,674
1014,674
1014,672
1012,670
1010,666
1008,666
1008,664
1006,662
1006,660
1004,660
1002,656
1000,656
1000,654
996,652
996,650
992,646
990,646
990,644
988,644
986,642
986,640
986,638
984,638
984,636
982,634
982,632
982,630
980,626
980,622
980,620
978,618
978,616
978,614
978,612
978,610
978,608
978,606
978,604
978,602
978,600
978,598
978,596
978,594
976,592
976,590
976,588
976,586
976,582
976,580
976,576
976,574
976,572
976,570
976,568
976,566
976,564
976,562
976,560
976,558
976,556
976,554
976,552
976,548
976,546
976,544
976,542
976,538
976,536
976,532
976,530
976,528
976,526
976,524
976,522
976,520
976,518
976,516
976,514
976,512
976,510
976,508
976,506
976,504
976,502
976,500
976,498
976,496
976,494
976,492
976,490
976,488
976,486
976,484
976,482
976,478
976,476
976,474
976,472
976,470
976,468
976,466
976,464
976,462
976,460
976,458
976,456
976,452
976,450
976,448
976,446
976,444
976,442
976,440
976,436
976,434
976,430
976,428
976,424
976,422
976,420
976,418
976,416
976,414
976,412
976,410
976,406
976,404
976,402
976,400
976,398
976,396
976,394
974,392
974,390
974,388
974,386
972,384
972,382
972,378
972,376
970,374
970,372
970,370
970,368
968,366
966,366
966,364
966,362
964,362
964,360
964,358
962,358
962,356
960,356
958,352
956,350
954,348
952,348
950,346
948,344
946,344
944,342
942,342
940,342
938,342
936,342
934,342
932,342
930,342
928,342
926,344
924,344
922,344
920,344
918,346
916,346
914,348
910,352
908,354
906,356
904,356
904,358
904,360
902,360
900,360
900,362
898,364
896,366
894,370
892,372
890,374
888,376
886,376
886,378
884,378
884,380
882,382
878,384
874,384
868,386
866,388
862,390
856,390
852,392
850,394
848,394
846,396
844,396
844,398
842,398
840,400
838,400
838,402
836,404
834,406
832,408
830,412
828,412
828,414
826,414
824,418
822,420
820,424
818,428
814,430
814,434
810,438
810,442
806,444
806,448
804,450
804,452
802,456
800,456
800,458
798,464
796,466
796,468
794,472
794,474
792,476
792,478
790,478
790,480
790,482
788,482
788,486
786,490
784,494
782,496
778,500
778,502
776,502
776,504
776,506
774,508
772,512
770,512
770,514
768,518
766,520
766,522
764,524
764,526
762,526
762,528
760,528
760,530
760,534
758,534
758,536
758,538
756,540
754,544
754,546
752,548
750,552
750,554
750,556
748,558
748,560
746,562
746,564
746,566
744,568
744,572
742,574
742,578
740,582
738,586
738,588
736,592
736,596
734,600
734,602
732,608
732,610
730,616
730,618
730,620
730,624
730,628
730,630
730,632
730,634
730,636
728,640
728,644
726,646
726,648
726,654
726,656
726,658
726,662
726,664
726,666
726,670
726,672
726,674
726,676
726,680
726,682
726,684
