X,Y
1118,822
1118,818
1118,814
1118,810
1118,806
1118,804
1118,802
1116,802
1116,800
1116,798
1116,796
1116,794
1116,790
1116,788
1116,786
1116,784
1114,782
1114,780
1114,778
1112,776
1112,774
1112,772
1112,770
1112,768
1112,766
1112,764
1112,762
1112,758
1112,756
1112,754
1114,754
1114,752
1114,750
1114,748
1116,748
1116,746
1118,744
1118,742
1120,740
1122,740
1122,738
1124,738
1124,736
1126,736
1126,734
1126,732
1128,732
1128,730
1130,730
1130,728
1130,726
1130,724
1132,722
1132,718
1132,716
1132,714
1132,710
1134,710
1134,708
1134,706
1134,704
1134,702
1136,700
1136,698
1136,694
1136,692
1136,688
1136,684
1136,682
1136,680
1136,678
1136,676
1136,674
1134,674
1134,672
1134,670
1132,670
1132,668
1130,668
1130,666
1128,666
1126,666
1124,666
1122,666
1120,666
1118,666
1118,664
1116,664
1114,664
1112,664
1108,664
1106,664
1102,664
1100,666
1098,668
1096,668
1094,668
1092,670
1090,670
1090,672
1088,672
1088,674
1086,674
1084,674
1082,674
1082,676
1080,676
1078,676
1078,678
1076,680
1074,680
1070,680
1068,680
1068,682
1064,682
1062,682
1058,682
1054,682
1050,682
1046,682
1044,682
1042,682
1038,682
1036,682
1034,682
1032,682
1030,682
1026,682
1024,682
1022,682
1022,680
1020,680
1018,678
1016,678
1012,676
1010,676
1008,676
1006,676
1004,674
1002,674
1000,672
998,672
996,670
992,670
992,668
990,668
990,666
988,666
986,664
984,664
984,662
982,662
980,662
978,662
976,660
974,660
972,660
970,658
968,656
966,654
964,654
964,652
962,650
960,648
958,646
956,642
954,642
954,640
952,638
950,636
950,634
948,632
948,630
946,628
946,626
944,624
942,624
942,622
940,622
936,618
934,616
932,616
930,616
928,614
926,612
924,612
922,610
922,608
918,608
918,606
916,606
914,604
912,604
912,602
910,602
910,600
910,598
908,596
906,596
906,592
904,592
904,590
904,588
902,586
902,584
900,582
900,580
898,580
898,578
898,576
896,576
896,574
896,572
894,570
892,570
892,568
892,566
890,564
890,562
888,560
888,558
888,556
886,556
886,554
884,554
884,552
