,time,area,width,height,hists,width_raw,height_raw,curv_mean,l_total,dataset,pearson
0,1,121559.5,0.0,0.0,,450.05688891048476,560.0795299739563,-0.003440691763801075,165981.9434050213,"              x            y         c
0   1072.981947   992.035724  0.002059
1   1062.595610   977.816939 -0.001453
2   1053.010429   962.530109 -0.005344
3   1039.769861   949.635993 -0.002456
4   1028.046112   938.026198  0.005525
..          ...          ...       ...
95  1031.060162  1032.114493 -0.009616
96  1046.072660  1026.343972 -0.013016
97  1060.955418  1018.631459 -0.022298
98  1070.293411  1006.994787 -0.025152
99  1073.008391   991.974554 -0.015279

[100 rows x 3 columns]",0.0
1,3,187225.0,90.28640124666572,149.8050723062114,,540.3432901571505,709.8846022801677,-0.0032510620495531835,213431.04266623335,"              x            y         c
0   1086.774584   962.157275  0.006652
1   1081.075152   941.377292  0.009352
2   1080.980766   917.681973  0.012482
3   1088.304403   897.176140  0.010003
4   1099.142239   881.862670 -0.006379
..          ...          ...       ...
95  1112.110354  1029.827242 -0.051369
96  1117.157891  1010.028784 -0.029303
97  1110.202810   990.241198 -0.015834
98  1099.103106   975.426789 -0.007225
99  1087.006350   961.993474 -0.002548

[100 rows x 3 columns]",0.37520419550225514
2,7,204717.5,94.13388893781098,162.00302225635596,,544.1907778482957,722.0825522303122,-0.0026906178851838643,211768.1730602167,"              x            y         c
0   1098.990132   982.011464 -0.000889
1   1097.040457   959.986225  0.000395
2   1094.143625   937.115557  0.006778
3   1093.791479   914.450543  0.015270
4   1103.887806   898.227841  0.001871
..          ...          ...       ...
95  1042.155977  1034.313929 -0.001215
96  1054.364226  1017.615208  0.007093
97  1067.568113  1005.293346  0.006000
98  1084.305205   996.064906 -0.003667
99  1099.000418   982.000561 -0.005928

[100 rows x 3 columns]",0.17207924233547386
3,14,229782.0,100.91628035883377,156.28763626629598,,550.9731692693185,716.3671662402522,-0.006820385997462755,214222.8008911758,"              x            y         c
0   1093.890362   996.100218 -0.004647
1   1101.787967   974.619158 -0.005025
2   1104.658991   952.701287 -0.003861
3   1107.594449   930.196338 -0.002404
4   1107.891729   907.163050  0.001647
..          ...          ...       ...
95  1065.409026  1032.130662 -0.005899
96  1086.807569  1027.094629 -0.020723
97  1098.535892  1008.516224 -0.014553
98  1108.196904   989.476284 -0.361494
99  1094.002311   996.000219 -0.027178

[100 rows x 3 columns]",0.29639214163419725
4,21,244368.5,128.03790010587102,173.6277313506738,,578.0947890163558,733.70726132463,-0.004696113183296906,212138.6070671543,"              x            y         c
0   1105.082371   996.924040 -0.001404
1   1108.819395   974.637702 -0.002692
2   1111.140756   952.125059 -0.002069
3   1110.816412   929.508560  0.000339
4   1112.992412   906.905747  0.000107
..          ...          ...       ...
95  1074.666910  1039.025255 -0.009677
96  1094.395745  1030.914965 -0.015545
97  1109.512847  1015.593576 -0.016575
98  1120.767591  1001.075824 -0.167696
99  1105.001746   997.000639 -0.031814

[100 rows x 3 columns]",0.3989288643890609
