X,Y
1232,1206
1234,1202
1236,1198
1236,1196
1236,1194
1238,1190
1238,1188
1240,1186
1240,1184
1240,1182
1240,1180
1240,1178
1240,1176
1240,1172
1240,1168
1242,1166
1242,1164
1244,1160
1244,1158
1244,1156
1244,1154
1244,1152
1244,1150
1244,1148
1244,1146
1246,1142
1246,1140
1246,1138
1246,1136
1246,1134
1246,1130
1246,1128
1246,1126
1246,1122
1246,1120
1246,1118
1246,1116
1246,1114
1246,1112
1246,1108
1246,1106
1246,1102
1246,1100
1246,1098
1246,1096
1246,1094
1248,1094
1248,1092
1248,1090
1250,1088
1250,1086
1250,1084
1250,1082
1250,1080
1252,1076
1252,1074
1254,1070
1254,1068
1254,1066
1254,1064
1254,1062
1254,1060
1254,1058
1254,1056
1254,1054
1254,1052
1252,1050
1250,1048
1248,1046
1246,1046
1246,1044
1244,1044
1244,1040
1242,1040
1240,1038
1238,1038
1236,1038
1234,1038
1232,1038
1230,1038
1226,1038
1224,1038
1224,1036
1220,1036
1218,1036
1214,1036
1212,1036
1204,1036
1200,1036
1198,1036
1194,1036
1190,1036
1188,1036
1184,1036
1180,1036
1176,1036
1172,1036
1168,1036
1166,1036
1164,1036
1162,1036
1162,1032
1162,1030
1162,1026
1162,1022
1160,1018
1160,1016
1160,1012
1160,1010
1158,1008
1158,1006
1156,1006
1154,1006
1152,1006
1150,1006
1144,1006
1140,1006
1134,1006
1128,1006
1124,1006
1120,1006
1116,1006
1110,1008
1106,1008
1100,1010
1094,1012
1092,1012
1088,1014
1084,1014
1080,1014
1076,1016
1072,1016
1070,1016
1066,1016
1064,1016
1062,1016
1060,1016
1058,1014
1058,1012
1056,1010
1056,1006
1056,1004
1054,1002
1054,998
1052,996
1052,994
1052,992
1052,990
1052,988
1050,986
1050,984
1050,982
1050,980
1048,978
1048,976
1048,974
1048,972
1048,970
1048,968
1048,966
1048,964
1046,962
1046,960
1046,958
1044,956
1044,954
1042,952
1042,950
1042,946
1040,944
1040,940
1038,938
1038,936
1038,934
1036,932
1036,928
1036,926
1034,920
1034,918
1032,916
1032,912
1032,910
1032,908
1032,906
1032,904
1032,902
1032,898
1032,896
1032,894
1032,892
1030,890
1030,886
1028,884
1028,880
1028,878
1028,876
1028,874
1028,872
1026,870
1026,866
1024,862
1024,860
1024,858
1024,856
1024,852
1024,850
1022,848
1022,844
1022,842
1022,840
1020,836
1020,832
1020,830
1020,828
1018,826
1018,822
1016,820
1016,818
1016,814
1016,812
1016,810
1016,808
1014,808
1014,804
1012,802
1012,798
1012,796
1010,794
1010,792
1010,790
1008,788
1008,786
1008,784
1006,782
1006,780
1006,776
1006,772
1004,768
1002,764
1002,762
1002,760
1002,758
1002,756
1002,752
1000,750
1000,746
1000,744
1000,740
1000,738
1000,736
1000,732
1000,730
1000,728
1000,726
998,724
998,722
998,720
998,716
998,712
998,710
996,706
996,704
996,702
996,700
994,700
994,696
992,694
992,692
992,690
992,684
992,682
990,680
988,678
988,676
988,674
986,674
986,672
986,670
986,668
984,668
984,666
982,664
982,662
980,660
978,660
978,658
978,656
976,656
976,654
974,652
972,652
970,650
968,648
964,648
962,648
960,646
956,644
954,644
950,644
946,642
946,640
944,640
942,640
942,638
938,638
936,638
934,638
932,636
928,636
924,636
922,634
920,634
916,634
914,634
912,634
910,634
906,634
904,634
902,634
900,634
896,634
892,634
890,634
886,634
882,634
878,634
876,634
874,634
872,634
870,634
868,634
866,634
864,636
864,638
860,638
860,640
858,640
856,644
854,644
852,646
850,648
848,648
848,650
846,650
844,652
842,654
840,656
838,660
834,662
832,666
830,668
828,670
826,674
824,674
824,678
820,678
820,682
818,684
816,686
814,688
812,692
810,696
808,698
806,702
804,704
802,706
800,710
798,712
798,714
796,718
794,720
792,724
792,726
790,728
788,732
786,732
784,736
782,738
782,740
780,742
778,744
778,746
776,750
774,752
772,752
772,754
770,754
770,756
768,758
766,760
764,760
762,762
760,764
758,768
756,768
752,772
750,774
748,776
746,778
744,778
744,780
740,780
740,784
738,784
738,788
736,788
734,790
734,796
730,798
730,800
728,806
726,810
724,816
722,820
722,826
720,830
720,834
718,840
718,842
718,846
718,852
718,854
718,858
718,860
718,864
718,868
718,870
718,872
718,876
718,878
718,880
718,882
718,884
716,886
716,890
716,892
716,894
716,896
716,898
716,900
716,902
714,904
714,908
712,908
712,910
712,914
710,916
710,918
710,920
710,922
708,926
708,928
708,930
706,932
706,934
706,936
706,938
706,940
706,944
706,946
704,948
704,952
704,956
704,960
704,964
704,968
704,970
702,974
702,980
702,982
702,984
702,986
702,988
702,990
702,992
702,996
702,1000
702,1002
702,1004
702,1008
702,1010
702,1014
702,1016
702,1020
702,1024
704,1026
704,1030
704,1034
704,1042
704,1046
704,1048
704,1052
706,1058
706,1064
706,1068
706,1072
708,1074
710,1078
710,1082
710,1084
710,1088
712,1092
714,1096
714,1098
714,1100
716,1106
718,1108
718,1110
720,1112
722,1114
722,1116
722,1118
724,1120
726,1122
728,1124
730,1126
730,1128
732,1130
734,1134
736,1136
736,1138
738,1140
738,1142
740,1142
742,1144
744,1146
746,1148
748,1148
750,1150
750,1152
752,1152
754,1154
756,1156
760,1160
764,1162
766,1164
768,1166
772,1170
774,1172
780,1174
784,1176
788,1180
794,1182
798,1186
814,1194
820,1198
826,1200
830,1204
834,1204
838,1206
840,1208
842,1210
844,1210
846,1212
848,1214
850,1216
852,1216
852,1218
856,1220
856,1222
858,1224
862,1226
864,1230
868,1232
870,1234
872,1234
872,1236
874,1238
876,1242
876,1246
876,1248
878,1250
878,1252
880,1258
880,1260
880,1262
880,1264
882,1264
882,1266
882,1268
882,1270
882,1272
884,1274
884,1276
884,1278
886,1280
886,1282
886,1284
886,1286
886,1288
886,1290
886,1294
886,1296
886,1298
886,1300
886,1302
886,1304
886,1308
886,1310
886,1314
886,1316
886,1318
886,1322
886,1324
886,1328
886,1330
886,1334
888,1334
888,1336
888,1338
890,1340
892,1342
894,1344
896,1344
898,1346
900,1346
900,1348
902,1348
904,1348
906,1348
910,1348
912,1348
914,1348
916,1348
920,1348
922,1348
924,1350
928,1350
930,1350
932,1350
934,1350
936,1350
938,1350
942,1348
944,1346
946,1344
952,1340
954,1336
958,1334
962,1330
964,1328
968,1322
970,1318
974,1316
974,1312
978,1308
978,1306
980,1304
982,1304
982,1302
982,1300
984,1298
986,1296
988,1292
990,1292
992,1290
994,1290
996,1290
998,1290
1000,1288
1004,1288
1006,1288
1008,1288
1010,1288
1012,1288
1016,1288
1018,1288
1020,1288
1022,1288
1024,1288
1028,1288
1030,1288
1032,1290
1034,1290
1034,1292
1036,1292
1038,1292
1042,1294
1042,1296
1044,1296
1044,1298
1046,1298
1048,1298
1050,1300
1052,1300
1052,1302
1054,1304
1056,1304
1056,1306
1058,1308
1060,1308
1062,1308
1064,1310
1068,1310
1070,1310
1072,1310
1074,1310
1078,1310
1080,1310
1084,1308
1088,1308
1090,1306
1092,1304
1098,1302
1100,1298
1102,1296
1106,1294
1108,1290
1114,1288
1116,1286
1118,1284
1120,1284
1124,1282
1126,1280
1128,1278
1130,1278
1130,1276
1134,1276
1134,1274
1136,1272
1138,1272
1140,1270
1142,1270
1142,1268
1146,1266
1148,1266
1150,1262
1154,1262
1156,1260
1160,1258
1162,1256
1164,1254
1166,1254
1166,1252
1168,1252
1170,1250
1172,1250
1176,1248
1180,1248
1182,1248
1184,1248
1190,1246
1192,1244
1194,1244
1198,1242
1202,1242
1206,1242
1208,1242
1210,1242
1212,1242
1214,1242
1216,1240
1220,1240
1224,1238
1226,1236
1228,1234
1228,1232
1230,1230
1232,1228
1232,1226
1234,1224
1234,1222
1236,1220
1238,1216
1240,1212
1240,1210
1242,1206
1244,1204
1244,1202
1246,1202
1246,1200
1246,1198
1248,1196
