X,Y
1426,958
1424,954
1422,950
1416,946
1414,940
1408,932
1406,928
1402,924
1400,922
1396,918
1394,916
1390,914
1390,910
1386,908
1382,906
1380,902
1378,900
1378,898
1376,898
1374,896
1372,894
1370,892
1370,890
1368,890
1366,890
1366,888
1366,886
1364,884
1364,882
1364,880
1364,878
1362,876
1362,874
1362,872
1362,870
1362,868
1362,866
1362,864
1362,862
1362,858
1362,856
1362,852
1362,850
1362,848
1362,846
1362,844
1362,842
1362,840
1362,838
1362,836
1362,834
1362,832
1362,830
1362,828
1362,826
1362,824
1362,820
1360,820
1360,818
1360,816
1360,814
1358,814
1358,812
1356,810
1356,808
1356,806
1354,806
1354,804
1352,802
1350,800
1348,798
1346,798
1342,798
1338,798
1334,798
1332,798
1328,798
1326,798
1324,798
1322,798
1320,798
1318,798
1316,798
1314,798
1312,800
1310,800
1308,800
1306,800
1306,802
1304,802
1302,802
1300,802
1296,802
1294,802
1290,802
1288,802
1286,802
1284,802
1282,802
1282,800
1280,800
1278,800
1276,800
1272,798
1270,798
1270,796
1266,794
1264,792
1260,790
1258,790
1256,790
1254,790
1252,790
1252,788
1250,788
1246,786
1242,784
1240,784
1236,782
1234,780
1232,780
1230,780
1230,778
1228,778
1226,776
1222,774
1220,772
1216,770
1214,766
1212,766
1206,764
1204,762
1202,762
1200,762
1198,760
1196,758
1194,758
1192,758
1190,758
1190,756
1188,756
1186,756
1184,756
1182,754
1180,752
1178,752
1176,752
1176,750
1174,750
1174,748
1174,746
1174,744
1172,742
1172,740
1172,738
1170,736
1170,734
1170,732
1170,730
1170,728
1170,726
1170,724
1170,722
1170,720
1170,718
1170,716
1170,714
1170,712
1170,710
1170,708
1170,706
1172,704
1172,702
1172,700
1172,698
1172,696
1172,694
1172,690
1172,688
1172,686
1172,684
1172,682
1172,680
1172,678
1172,676
1172,674
1172,672
1172,670
1172,668
1172,666
1172,664
1172,662
1172,660
1172,658
1172,656
1172,654
1172,652
1172,650
1172,648
1172,646
1172,644
1172,642
1172,640
1172,638
1172,636
1172,634
1172,632
1172,630
1172,628
1172,626
1172,624
1172,622
1172,620
1172,618
1172,616
1172,614
1172,612
1172,610
1172,608
1172,606
1172,604
1172,602
1172,600
1172,598
1172,596
1172,594
1172,592
1172,590
1172,588
1172,586
1172,584
1172,582
1172,580
1172,578
1172,576
1172,574
1172,572
1170,572
1170,570
1170,568
1170,566
1170,564
1170,562
1170,558
1170,556
1170,554
1170,552
1168,550
1168,548
1168,546
1168,544
1168,542
1166,540
1166,538
1166,536
1166,534
1164,532
1164,530
1164,528
1162,528
1162,526
1162,524
1162,522
1162,520
1162,518
1162,516
1160,516
1160,514
1160,512
1160,510
1160,506
1160,504
1158,504
1158,500
1158,498
1158,496
1158,492
1158,490
1158,488
1158,486
1158,484
1158,482
1158,480
1158,478
1156,478
1156,476
1156,474
1156,472
1156,470
1156,468
1156,466
1156,464
1156,462
1156,460
1156,458
1156,456
1154,456
1154,454
1152,454
1152,452
1150,452
1148,450
1146,448
1144,448
1142,448
1140,446
1138,446
1136,446
1134,446
1132,444
1130,444
1128,444
1126,444
1124,444
1124,442
1122,442
1120,442
1118,442
1116,442
1114,442
1112,442
1110,442
1108,442
1106,442
1104,444
1102,444
1100,444
1098,444
1098,446
1094,446
1094,448
1092,450
1090,450
1090,452
1088,452
1086,452
1086,454
1084,454
1084,456
1082,456
1082,458
1080,458
1078,460
1076,462
1074,464
1072,466
1072,468
1070,470
1070,472
1068,474
1066,476
1066,478
1064,478
1064,482
1062,482
1060,484
1058,486
1058,490
1056,490
1056,492
1054,492
1054,494
1052,494
1052,496
1050,498
1050,500
1048,500
1048,502
1046,504
1044,506
1042,508
1042,510
1040,512
1040,514
1038,516
1036,518
1036,520
1034,522
1032,524
1030,526
1030,528
1028,530
1026,532
1024,532
1024,534
1022,536
1022,538
1020,538
1020,540
1018,540
1018,542
1016,542
1014,544
1014,546
1012,546
1012,548
1010,548
1010,550
1008,552
1006,552
1006,554
1004,556
1004,558
1002,558
1002,560
1000,560
1000,564
998,564
998,568
996,568
996,570
996,572
992,574
992,576
992,578
992,580
990,580
990,582
988,584
988,586
986,588
986,590
986,592
984,594
982,598
982,600
982,604
982,606
980,608
980,610
980,612
978,614
978,616
978,618
978,620
978,622
978,624
976,626
976,628
976,630
976,632
976,634
976,636
976,640
976,642
976,644
976,646
976,648
976,652
976,654
976,656
976,660
976,662
976,666
976,668
976,670
976,672
976,674
976,676
976,678
976,682
976,686
976,690
978,692
978,694
978,696
978,698
980,700
980,704
980,706
980,708
980,712
980,714
980,716
980,718
982,722
982,724
984,728
986,732
986,734
986,736
988,740
988,742
990,744
990,746
992,750
992,752
992,756
994,758
994,760
996,762
996,764
998,766
998,768
998,770
1000,772
1000,774
1000,776
1002,778
1002,780
1002,782
1004,784
1004,788
1004,790
1004,792
1006,796
1006,798
1008,798
1008,802
1008,804
1010,806
1010,808
1012,810
1012,812
1014,814
1014,816
1014,818
1016,820
1016,824
1018,826
1018,830
1018,832
1020,832
1020,834
1022,836
1022,840
1024,842
1026,846
1026,848
1028,850
1028,852
1030,854
1032,856
1032,858
1034,858
1034,860
1036,862
1036,864
1038,864
1038,866
1040,868
1040,872
1042,872
1044,874
1046,876
1046,878
1048,878
1050,880
1050,882
1052,884
1052,886
1054,888
1056,890
1056,894
1058,894
1060,896
1062,900
1062,902
1064,904
1066,904
1066,906
1068,908
1068,912
1070,912
1070,914
1072,916
1074,918
1074,920
1076,922
1076,924
1078,926
1080,926
1080,928
1082,928
1082,930
1084,932
1086,934
1088,936
1090,936
1090,938
1092,938
1094,940
1096,942
1098,942
1098,944
1102,946
1106,948
1108,950
1110,952
1112,952
1114,954
1116,954
1118,954
1120,956
1122,958
1124,958
1126,958
1126,960
1128,960
1130,960
1132,962
1134,964
1136,964
1140,964
1142,966
1144,966
1146,966
1148,968
1150,970
1154,970
1158,972
1160,972
1162,972
1164,972
1168,974
1170,974
1174,976
1176,976
1180,976
1182,978
1184,980
1186,980
1188,980
1190,980
1192,982
1194,982
1198,984
1200,984
1204,984
1206,984
1210,986
1212,986
1214,988
1216,988
1218,988
1222,988
1224,990
1228,992
1230,992
1232,992
1236,994
1240,994
1242,996
1246,996
1248,996
1250,996
1252,996
1256,996
1258,998
1260,998
1264,998
1266,1000
1268,1000
1274,1000
1276,1000
1280,1000
1282,1002
1286,1002
1288,1002
1290,1002
1292,1002
1298,1002
1300,1002
1302,1002
1304,1002
1308,1002
1314,1002
1316,1002
1322,1002
1326,1002
1328,1002
1332,1002
1334,1002
1336,1002
1338,1002
1340,1002
1342,1002
1344,1002
1346,1002
1348,1002
1350,1002
1354,1002
1356,1002
1358,1002
1362,1002
1364,1000
1366,1000
1368,1000
1372,1000
1374,1000
1378,1000
1380,1000
1382,998
1384,998
1386,998
1390,996
1390,994
1392,994
1396,994
1400,992
1402,990
1404,990
1406,988
1408,988
1410,986
1412,986
1414,986
1414,984
1416,982
1418,980
1418,978
1420,978
1420,976
1422,976
1422,974
1424,972
1424,970
1426,970
1426,968
1426,966
1428,964
